id	family	order
FBti0059685	1360	tir
FBti0059686	1360	tir
FBti0059690	x	non-ltr
FBti0059691	jockey	non-ltr
FBti0059693	diver2	ltr
FBti0059703	mdg3	ltr
FBti0059704	gate	ltr
FBti0059726	roo	ltr
FBti0059727	rt1b	non-ltr
FBti0059728	i	non-ltr
FBti0059729	roo	ltr
FBti0059730	invader4	ltr
FBti0059731	roo	ltr
FBti0059732	h	tir
FBti0059733	gate	ltr
FBti0059734	stalker2	ltr
FBti0059739	mdg1	ltr
FBti0059741	cr1a	non-ltr
FBti0059742	cr1a	non-ltr
FBti0059760	gypsy3	ltr
FBti0059768	roo	ltr
FBti0059770	f	non-ltr
FBti0059771	s2	tir
FBti0059774	gate	ltr
FBti0059778	transib1	tir
FBti0059781	mdg1	ltr
FBti0059788	1360	tir
FBti0059790	1360	tir
FBti0059791	tc1-2	tir
FBti0059793	h	tir
FBti0059797	x	non-ltr
FBti0059799	h	tir
FBti0059802	ine-1	helitron
FBti0059803	gtwin	ltr
FBti0059804	ine-1	helitron
FBti0059807	ine-1	helitron
FBti0059809	ine-1	helitron
FBti0059811	ine-1	helitron
FBti0059813	ine-1	helitron
FBti0059815	ine-1	helitron
FBti0059817	ine-1	helitron
FBti0059827	ine-1	helitron
FBti0059830	roo	ltr
FBti0059831	f	non-ltr
FBti0059832	ine-1	helitron
FBti0059833	f	non-ltr
FBti0059846	h	tir
FBti0059849	h	tir
FBti0059851	h	tir
FBti0059862	bs3	non-ltr
FBti0059865	1360	tir
FBti0059868	1360	tir
FBti0059869	invader3	ltr
FBti0059870	invader3	ltr
FBti0059871	invader3	ltr
FBti0059872	invader3	ltr
FBti0059881	invader3	ltr
FBti0059883	invader3	ltr
FBti0059884	rt1c	non-ltr
FBti0059886	fb	foldback
FBti0059887	fb	foldback
FBti0059971	gypsy12	ltr
FBti0059972	gypsy12	ltr
FBti0059973	gypsy12	ltr
FBti0059975	17.6	ltr
FBti0059976	diver2	ltr
FBti0059992	gypsy4	ltr
FBti0059993	g6	non-ltr
FBti0059994	stalker2	ltr
FBti0059995	gypsy8	ltr
FBti0060011	gypsy8	ltr
FBti0060012	gypsy8	ltr
FBti0060013	gypsy8	ltr
FBti0060027	hms-beagle2	ltr
FBti0060029	rt1a	non-ltr
FBti0060031	rt1a	non-ltr
FBti0060032	doc2	non-ltr
FBti0060051	rooa	ltr
FBti0060054	accord2	ltr
FBti0060055	accord2	ltr
FBti0060057	accord2	ltr
FBti0060058	porto1	non-ltr
FBti0060070	porto1	non-ltr
FBti0060071	g7	non-ltr
FBti0060072	g7	non-ltr
FBti0060074	g7	non-ltr
FBti0060075	gypsy9	ltr
FBti0060078	gypsy3	ltr
FBti0060079	accord	ltr
FBti0060080	gypsy5	ltr
FBti0060081	gypsy5	ltr
FBti0060093	jockey	non-ltr
FBti0060096	ine-1	helitron
FBti0060099	ine-1	helitron
FBti0060102	ine-1	helitron
FBti0060117	ine-1	helitron
FBti0060120	ine-1	helitron
FBti0060123	ine-1	helitron
FBti0060125	ine-1	helitron
FBti0060128	ine-1	helitron
FBti0060129	ine-1	helitron
FBti0060130	ine-1	helitron
FBti0060132	ine-1	helitron
FBti0060147	ine-1	helitron
FBti0060148	ine-1	helitron
FBti0060150	ine-1	helitron
FBti0060151	ine-1	helitron
FBti0060153	ine-1	helitron
FBti0060157	ine-1	helitron
FBti0060223	ine-1	helitron
FBti0060253	invader1	ltr
FBti0060254	invader1	ltr
FBti0060256	dm88	ltr
FBti0060258	dm88	ltr
FBti0060260	dm88	ltr
FBti0060261	dm88	ltr
FBti0060263	dm88	ltr
FBti0060267	max	ltr
FBti0060274	gypsy12	ltr
FBti0060275	gypsy12	ltr
FBti0060276	tc3	tir
FBti0060277	hms-beagle2	ltr
FBti0060278	ine-1	helitron
FBti0060279	1731	ltr
FBti0060280	1731	ltr
FBti0060289	nof	tir
FBti0060290	ine-1	helitron
FBti0060291	ine-1	helitron
FBti0060293	ine-1	helitron
FBti0060307	1360	tir
FBti0060308	ine-1	helitron
FBti0060309	copia	ltr
FBti0060311	copia	ltr
FBti0060312	juan	non-ltr
FBti0060314	ine-1	helitron
FBti0060325	g4	non-ltr
FBti0060326	tabor	ltr
FBti0060327	1360	tir
FBti0060328	1360	tir
FBti0060341	flea	ltr
FBti0060342	jockey2	non-ltr
FBti0060345	invader4	ltr
FBti0060347	gate	ltr
FBti0060359	invader1	ltr
FBti0060360	transib2	tir
FBti0060361	invader1	ltr
FBti0060362	invader1	ltr
FBti0060363	invader6	ltr
FBti0060364	invader6	ltr
FBti0060365	invader6	ltr
FBti0060366	frogger	ltr
FBti0060381	g6	non-ltr
FBti0060387	circe	ltr
FBti0060400	micropia	ltr
FBti0060402	micropia	ltr
FBti0060404	1731	ltr
FBti0060406	looper1	tir
FBti0060407	ine-1	helitron
FBti0060408	ine-1	helitron
FBti0060409	ine-1	helitron
FBti0060410	ine-1	helitron
FBti0060411	ine-1	helitron
FBti0060412	ine-1	helitron
FBti0060419	springer	ltr
FBti0060420	rt1b	non-ltr
FBti0060421	ine-1	helitron
FBti0060422	ine-1	helitron
FBti0060493	ine-1	helitron
FBti0060494	ine-1	helitron
FBti0060495	ine-1	helitron
FBti0060496	ine-1	helitron
FBti0060497	ine-1	helitron
FBti0060498	ine-1	helitron
FBti0060500	ine-1	helitron
FBti0060502	ine-1	helitron
FBti0060509	ine-1	helitron
FBti0060510	ine-1	helitron
FBti0060511	ine-1	helitron
FBti0060512	ine-1	helitron
FBti0060513	ine-1	helitron
FBti0060514	ine-1	helitron
FBti0060515	ine-1	helitron
FBti0060522	ine-1	helitron
FBti0060523	ine-1	helitron
FBti0060524	ine-1	helitron
FBti0060525	ine-1	helitron
FBti0060526	ine-1	helitron
FBti0060527	ine-1	helitron
FBti0060528	ine-1	helitron
FBti0060530	ine-1	helitron
FBti0060532	ine-1	helitron
FBti0060533	ine-1	helitron
FBti0060538	ine-1	helitron
FBti0060539	ine-1	helitron
FBti0060541	ine-1	helitron
FBti0060542	ine-1	helitron
FBti0060543	ine-1	helitron
FBti0060544	ine-1	helitron
FBti0060546	ine-1	helitron
FBti0060550	blood	ltr
FBti0060552	f	non-ltr
FBti0060563	f	non-ltr
FBti0060566	f	non-ltr
FBti0060568	opus	ltr
FBti0060571	opus	ltr
FBti0060572	opus	ltr
FBti0060575	mdg1	ltr
FBti0060576	mdg1	ltr
FBti0060577	mdg1	ltr
FBti0060583	s	tir
FBti0060589	g2	non-ltr
FBti0060591	tabor	ltr
FBti0060592	quasimodo	ltr
FBti0060597	bs3	non-ltr
FBti0060599	bs3	non-ltr
FBti0060601	1360	tir
FBti0060602	1360	tir
FBti0060603	1360	tir
FBti0060604	1360	tir
FBti0060613	1360	tir
FBti0060616	doc4	non-ltr
FBti0060619	cr1a	non-ltr
FBti0060621	cr1a	non-ltr
FBti0060622	cr1a	non-ltr
FBti0060630	cr1a	non-ltr
FBti0060631	cr1a	non-ltr
FBti0060632	cr1a	non-ltr
FBti0060634	g	non-ltr
FBti0060637	flea	ltr
FBti0060638	jockey2	non-ltr
FBti0060640	tc1-2	tir
FBti0060641	gtwin	ltr
FBti0060660	invader3	ltr
FBti0060662	stalker4	ltr
FBti0060663	fb	foldback
FBti0060665	idefix	ltr
FBti0060760	h	tir
FBti0060767	ine-1	helitron
FBti0060769	ine-1	helitron
FBti0060784	ine-1	helitron
FBti0060792	ine-1	helitron
FBti0060793	rt1b	non-ltr
FBti0060794	1360	tir
FBti0060795	diver2	ltr
FBti0060796	diver2	ltr
FBti0060797	quasimodo	ltr
FBti0060798	ine-1	helitron
FBti0060800	ine-1	helitron
FBti0060805	ine-1	helitron
FBti0060827	297	ltr
FBti0060828	rt1a	non-ltr
FBti0060829	gypsy4	ltr
FBti0060830	rt1b	non-ltr
FBti0060832	1360	tir
FBti0060839	ine-1	helitron
FBti0060848	1360	tir
FBti0060849	1360	tir
FBti0060850	ine-1	helitron
FBti0060851	x	non-ltr
FBti0060852	x	non-ltr
FBti0060853	1360	tir
FBti0060854	1360	tir
FBti0060861	ine-1	helitron
FBti0060868	burdock	ltr
FBti0060869	cr1a	non-ltr
FBti0060870	invader2	ltr
FBti0060871	invader2	ltr
FBti0060872	baggins	non-ltr
FBti0060873	gtwin	ltr
FBti0060874	gypsy	ltr
FBti0060875	hms-beagle2	ltr
FBti0060878	ine-1	helitron
FBti0060885	297	ltr
FBti0060886	1360	tir
FBti0060887	ine-1	helitron
FBti0060888	ine-1	helitron
FBti0060889	tc3	tir
FBti0060890	cr1a	non-ltr
FBti0060891	doc3	non-ltr
FBti0060892	ine-1	helitron
FBti0060903	gypsy8	ltr
FBti0060905	max	ltr
FBti0060906	max	ltr
FBti0060907	max	ltr
FBti0060909	max	ltr
FBti0060912	gypsy5	ltr
FBti0060919	gypsy8	ltr
FBti0060920	297	ltr
FBti0060921	tabor	ltr
FBti0060922	rt1c	non-ltr
FBti0060923	gypsy12	ltr
FBti0060924	gypsy11	ltr
FBti0060925	ninja-dsim-like	ltr
FBti0060927	ine-1	helitron
FBti0060934	ine-1	helitron
FBti0060938	ine-1	helitron
FBti0060939	ine-1	helitron
FBti0060940	ine-1	helitron
FBti0060941	i	non-ltr
FBti0060942	ine-1	helitron
FBti0060943	ine-1	helitron
FBti0060945	diver2	ltr
FBti0060946	ine-1	helitron
FBti0060948	doc2	non-ltr
FBti0060950	rooa	ltr
FBti0060968	ine-1	helitron
FBti0060969	ine-1	helitron
FBti0060970	cr1a	non-ltr
FBti0060971	gypsy8	ltr
FBti0060972	jockey2	non-ltr
FBti0060973	ine-1	helitron
FBti0060975	1360	tir
FBti0060978	ine-1	helitron
FBti0060981	fw2	non-ltr
FBti0060983	3s18	ltr
FBti0060991	ine-1	helitron
FBti0060992	g4	non-ltr
FBti0060993	gypsy12	ltr
FBti0060994	ine-1	helitron
FBti0060996	ine-1	helitron
FBti0061001	max	ltr
FBti0061055	ine-1	helitron
FBti0061056	ine-1	helitron
FBti0061057	ine-1	helitron
FBti0061058	ine-1	helitron
FBti0061059	ine-1	helitron
FBti0061067	ine-1	helitron
FBti0061068	ine-1	helitron
FBti0061069	ine-1	helitron
FBti0061070	ine-1	helitron
FBti0061071	ine-1	helitron
FBti0061089	ine-1	helitron
FBti0061091	ine-1	helitron
FBti0061092	gate	ltr
FBti0061093	ine-1	helitron
FBti0061094	max	ltr
FBti0061095	ine-1	helitron
FBti0061096	gypsy12	ltr
FBti0061097	ine-1	helitron
FBti0061100	r1	non-ltr
FBti0061101	r1	non-ltr
FBti0061104	g3	non-ltr
FBti0061105	g5	non-ltr
FBti0061106	diver2	ltr
FBti0061107	diver2	ltr
FBti0061108	diver2	ltr
FBti0061109	ine-1	helitron
FBti0061110	ine-1	helitron
FBti0061111	ine-1	helitron
FBti0061113	ine-1	helitron
FBti0061114	ine-1	helitron
FBti0061120	ine-1	helitron
FBti0061121	gypsy8	ltr
FBti0061122	ine-1	helitron
FBti0061123	gypsy8	ltr
FBti0061124	ine-1	helitron
FBti0061125	gypsy8	ltr
FBti0061126	gypsy8	ltr
FBti0061127	gypsy8	ltr
FBti0061128	gypsy8	ltr
FBti0061131	rt1a	non-ltr
FBti0061132	ine-1	helitron
FBti0061133	ine-1	helitron
FBti0061135	rooa	ltr
FBti0061138	ine-1	helitron
FBti0061139	412	ltr
FBti0061154	circe	ltr
FBti0061157	r1-2	ltr
FBti0061159	gypsy10	ltr
FBti0061160	gypsy10	ltr
FBti0061161	gypsy10	ltr
FBti0061162	1731	ltr
FBti0061163	hms-beagle	ltr
FBti0061178	ine-1	helitron
FBti0061181	ine-1	helitron
FBti0061182	i	non-ltr
FBti0061183	i	non-ltr
FBti0061184	ine-1	helitron
FBti0061185	ine-1	helitron
FBti0061186	i	non-ltr
FBti0061188	ine-1	helitron
FBti0061199	x	non-ltr
FBti0061200	x	non-ltr
FBti0061201	ine-1	helitron
FBti0061202	ine-1	helitron
FBti0061203	ine-1	helitron
FBti0061204	ine-1	helitron
FBti0061205	ine-1	helitron
FBti0061206	ine-1	helitron
FBti0061207	ine-1	helitron
FBti0061209	ine-1	helitron
FBti0061210	ine-1	helitron
FBti0061211	ine-1	helitron
FBti0061212	ine-1	helitron
FBti0061213	ine-1	helitron
FBti0061214	ine-1	helitron
FBti0061216	ine-1	helitron
FBti0061218	tc1	tir
FBti0061225	ine-1	helitron
FBti0061227	ine-1	helitron
FBti0061229	ine-1	helitron
FBti0061231	ine-1	helitron
FBti0061233	ine-1	helitron
FBti0061234	ine-1	helitron
FBti0061236	ine-1	helitron
FBti0061237	ine-1	helitron
FBti0061238	ine-1	helitron
FBti0061239	ine-1	helitron
FBti0061240	ine-1	helitron
FBti0061241	ine-1	helitron
FBti0061242	ine-1	helitron
FBti0061243	ine-1	helitron
FBti0061244	ine-1	helitron
FBti0061252	ine-1	helitron
FBti0061253	ine-1	helitron
FBti0061255	ine-1	helitron
FBti0061256	ine-1	helitron
FBti0061258	ine-1	helitron
FBti0061259	ine-1	helitron
FBti0061260	ine-1	helitron
FBti0061261	ine-1	helitron
FBti0061262	ine-1	helitron
FBti0061263	ine-1	helitron
FBti0061264	ine-1	helitron
FBti0061265	ine-1	helitron
FBti0061266	ine-1	helitron
FBti0061267	ine-1	helitron
FBti0061268	ine-1	helitron
FBti0061269	ine-1	helitron
FBti0061277	ine-1	helitron
FBti0061279	ine-1	helitron
FBti0061280	ine-1	helitron
FBti0061282	ine-1	helitron
FBti0061283	ine-1	helitron
FBti0061284	ine-1	helitron
FBti0061286	ine-1	helitron
FBti0061287	ine-1	helitron
FBti0061289	ine-1	helitron
FBti0061290	ine-1	helitron
FBti0061291	ine-1	helitron
FBti0061292	ine-1	helitron
FBti0061293	ine-1	helitron
FBti0061294	ine-1	helitron
FBti0061295	ine-1	helitron
FBti0061296	ine-1	helitron
FBti0061297	mcclintock	ltr
FBti0061298	ine-1	helitron
FBti0061311	roo	ltr
FBti0061312	f	non-ltr
FBti0061314	f	non-ltr
FBti0061315	297	ltr
FBti0061316	297	ltr
FBti0061323	297	ltr
FBti0061325	burdock	ltr
FBti0061326	burdock	ltr
FBti0061327	doc	non-ltr
FBti0061328	doc	non-ltr
FBti0061340	s	tir
FBti0061341	s	tir
FBti0061342	g4	non-ltr
FBti0061344	h	tir
FBti0061345	h	tir
FBti0061346	h	tir
FBti0061347	rt1b	non-ltr
FBti0061348	rt1b	non-ltr
FBti0061349	rt1b	non-ltr
FBti0061400	gypsy3	ltr
FBti0061401	ine-1	helitron
FBti0061402	ine-1	helitron
FBti0061403	ine-1	helitron
FBti0061404	ine-1	helitron
FBti0061405	r1	non-ltr
FBti0061420	ine-1	helitron
FBti0061422	ine-1	helitron
FBti0061423	ine-1	helitron
FBti0061424	ine-1	helitron
FBti0061426	ine-1	helitron
FBti0061435	g5	non-ltr
FBti0061436	cr1a	non-ltr
FBti0061437	cr1a	non-ltr
FBti0061438	bs3	non-ltr
FBti0061439	bs3	non-ltr
FBti0061443	ine-1	helitron
FBti0061445	ine-1	helitron
FBti0061448	ine-1	helitron
FBti0061451	ine-1	helitron
FBti0061453	ine-1	helitron
FBti0061454	ine-1	helitron
FBti0061455	ine-1	helitron
FBti0061456	ine-1	helitron
FBti0061457	ine-1	helitron
FBti0061458	ine-1	helitron
FBti0061459	bs3	non-ltr
FBti0061460	ivk	non-ltr
FBti0061461	micropia	ltr
FBti0061462	jockey2	non-ltr
FBti0061463	ine-1	helitron
FBti0061464	ine-1	helitron
FBti0061465	ine-1	helitron
FBti0061466	ine-1	helitron
FBti0061468	ine-1	helitron
FBti0061484	ine-1	helitron
FBti0061485	tc3	tir
FBti0061486	gypsy12	ltr
FBti0061489	ine-1	helitron
FBti0061490	fb	foldback
FBti0061491	ine-1	helitron
FBti0061505	g5a	non-ltr
FBti0061510	dm88	ltr
FBti0061511	1360	tir
FBti0061517	ine-1	helitron
FBti0061518	ine-1	helitron
FBti0061519	ine-1	helitron
FBti0061520	ine-1	helitron
FBti0061521	ine-1	helitron
FBti0061522	ine-1	helitron
FBti0061523	ine-1	helitron
FBti0061527	fb	foldback
FBti0061530	ine-1	helitron
FBti0061531	ine-1	helitron
FBti0061532	1360	tir
FBti0061533	ivk	non-ltr
FBti0061544	ine-1	helitron
FBti0061565	h	tir
FBti0061600	ine-1	helitron
FBti0061601	ine-1	helitron
FBti0061602	ine-1	helitron
FBti0061603	ine-1	helitron
FBti0061612	jockey2	non-ltr
FBti0061618	412	ltr
FBti0061619	ine-1	helitron
FBti0061620	ine-1	helitron
FBti0061621	ine-1	helitron
FBti0061629	ine-1	helitron
FBti0061630	f	non-ltr
FBti0061631	f	non-ltr
FBti0061632	f	non-ltr
FBti0061636	297	ltr
FBti0061637	burdock	ltr
FBti0061639	doc	non-ltr
FBti0061640	ine-1	helitron
FBti0061641	ine-1	helitron
FBti0061642	ine-1	helitron
FBti0061648	tirant	ltr
FBti0061649	hopper	tir
FBti0061650	ine-1	helitron
FBti0061651	g4	non-ltr
FBti0061652	ine-1	helitron
FBti0061656	rt1b	non-ltr
FBti0061657	rt1b	non-ltr
FBti0061658	rt1b	non-ltr
FBti0061659	ine-1	helitron
FBti0061660	rt1b	non-ltr
FBti0061662	quasimodo	ltr
FBti0061663	quasimodo	ltr
FBti0061664	transpac	ltr
FBti0061665	1360	tir
FBti0061666	ine-1	helitron
FBti0061681	1360	tir
FBti0061683	1360	tir
FBti0061684	1360	tir
FBti0061687	1360	tir
FBti0061688	1360	tir
FBti0061690	1360	tir
FBti0061691	1360	tir
FBti0061692	fb	foldback
FBti0061693	1360	tir
FBti0061694	doc4	non-ltr
FBti0061696	ine-1	helitron
FBti0061697	ine-1	helitron
FBti0061705	1360	tir
FBti0061707	ine-1	helitron
FBti0061709	ine-1	helitron
FBti0061712	1360	tir
FBti0061714	1360	tir
FBti0061715	cr1a	non-ltr
FBti0061716	1360	tir
FBti0061717	cr1a	non-ltr
FBti0061718	g5	non-ltr
FBti0061726	1360	tir
FBti0061728	1360	tir
FBti0061731	fb	foldback
FBti0061733	1360	tir
FBti0061734	fb	foldback
FBti0061736	1360	tir
FBti0061738	1360	tir
FBti0061740	1360	tir
FBti0061741	idefix	ltr
FBti0061742	rooa	ltr
FBti0061743	1360	tir
FBti0061745	1360	tir
FBti0061746	ine-1	helitron
FBti0061759	cr1a	non-ltr
FBti0061761	cr1a	non-ltr
FBti0061762	invader1	ltr
FBti0061764	cr1a	non-ltr
FBti0061765	cr1a	non-ltr
FBti0061766	gypsy12	ltr
FBti0061768	cr1a	non-ltr
FBti0061769	gypsy12	ltr
FBti0061771	cr1a	non-ltr
FBti0061772	gypsy12	ltr
FBti0061773	cr1a	non-ltr
FBti0061774	gypsy12	ltr
FBti0061775	cr1a	non-ltr
FBti0061776	cr1a	non-ltr
FBti0061788	g	non-ltr
FBti0061790	flea	ltr
FBti0061791	diver2	ltr
FBti0061793	flea	ltr
FBti0061794	tc3	tir
FBti0061796	gtwin	ltr
FBti0061799	invader3	ltr
FBti0061801	transib2	tir
FBti0061802	rt1c	non-ltr
FBti0061803	gypsy6	ltr
FBti0061804	stalker4	ltr
FBti0061805	stalker4	ltr
FBti0061806	hb	tir
FBti0061807	gypsy8	ltr
FBti0061808	gypsy8	ltr
FBti0061820	baggins	non-ltr
FBti0061823	idefix	ltr
FBti0061827	dm88	ltr
FBti0061828	doc2	non-ltr
FBti0061831	gypsy12	ltr
FBti0061833	gypsy12	ltr
FBti0061834	rooa	ltr
FBti0061836	gypsy12	ltr
FBti0061837	ninja-dsim-like	ltr
FBti0061839	gypsy12	ltr
FBti0061842	fw2	non-ltr
FBti0061843	diver2	ltr
FBti0061844	fw2	non-ltr
FBti0061845	r1-2	ltr
FBti0061862	diver2	ltr
FBti0061872	diver2	ltr
FBti0061874	diver2	ltr
FBti0061875	diver2	ltr
FBti0061876	transib4	tir
FBti0061895	transib4	tir
FBti0061898	doc3	non-ltr
FBti0061900	doc3	non-ltr
FBti0061903	doc3	non-ltr
FBti0061906	doc3	non-ltr
FBti0061909	transib3	tir
FBti0061910	transib3	tir
FBti0061926	gypsy6	ltr
FBti0061928	gypsy8	ltr
